sale_id,product_id,customer_id,sale_date,quantity,price_per_item
164,P004,C1040,05/05/2024,1,20.13
165,P007,C1014,2024/02/23,1,131.65
166,P007,C1002,10/28/2024,1,117.42
167,P007,C1046,09/06/2024,1,38.39
168,P004,C1007,2024-01-18,,169.25
169,P007,C1019,2024/10/15,1,133.31
170,P004,C1011,07/13/2024,2,105.67
171,P001,C1039,01/20/2024,1,94.89
172,P008,C1022,03/26/2024,1,22.74
173,P007,C1002,2024/06/03,3,134.84
174,P003,C1048,2024/02/24,3,25.18
175,P007,C1046,2024-11-26,1,199.25
176,P002,C1046,04/05/2024,1,140.36
177,P004,C1039,2024/02/27,1,40.16
178,P005,C1016,2024/08/05,2,49.57
179,P004,C1040,2024-06-12,1,86.65
180,P005,C1033,2024-11-11,1,31.85
181,P001,C1044,11/28/2024,3,109.07
182,P002,C1016,05/18/2024,,161.55
183,P007,C1028,06/19/2024,1,155.27
184,P004,C1016,2024-03-20,1,165.76
185,P005,C1047,2024/11/28,1,149.27
186,P001,C1032,2024/04/05,,92.11
187,P006,C1001,2024-01-05,3,134.08
188,P001,C1034,01/19/2024,1,109.38
189,P004,C1039,2024/07/19,1,48.79
190,P008,C1006,2024-03-05,,38.36
191,P002,C1000,11/05/2024,2,164.19
192,P001,C1028,11/27/2024,3,132.65
193,P008,C1025,2024-04-06,1,110.98
194,P003,C1042,2024-04-06,1,126.39
195,P004,C1041,2024/03/14,3,132.1
196,P007,C1003,10/06/2024,1,67.04
197,P008,C1029,12/18/2024,2,151.58
198,P002,C1016,2024-12-21,1,199.35
199,P004,C1016,11/02/2024,,185.77
200,P001,C1033,2024/05/21,2,140.28
201,P005,C1016,2024-05-21,3,12.88
202,P004,C1024,2024/12/07,1,46.46
203,P006,C1034,2024/10/08,,196.51
204,P008,C1027,2024/08/27,1,172.92
205,P004,C1036,10/10/2024,3,121.2
206,P003,C1010,2024-03-02,1,128.16
207,P006,C1041,2024-03-23,1,36.29
208,P001,C1048,2024-12-03,1,172.72
209,P006,C1048,2024/04/27,1,177.14
210,P007,C1048,2024-02-08,1,16.42
211,P002,C1050,11/21/2024,1,35.19
212,P004,C1016,05/11/2024,1,13.96
213,P005,C1018,01/23/2024,3,105.7
214,P001,C1045,2024/07/01,1,75.88
215,P001,C1018,2024/09/19,1,119.15
216,P003,C1003,2024-07-01,1,154.8
217,P001,C1011,06/16/2024,,161.38
218,P008,C1018,10/12/2024,3,189.33
219,P004,C1049,2024-12-08,1,188.35
220,P002,C1022,2024/08/26,1,129.3
221,P002,C1001,2024-07-13,2,178.8
222,P006,C1024,04/10/2024,3,105.22
223,P004,C1041,2024/08/05,,153.06
224,P001,C1028,2024/06/19,1,174.91
225,P006,C1008,2024/03/15,1,120.03
226,P006,C1019,2024-08-21,3,46.39
227,P003,C1022,2024/12/05,1,124.54
228,P003,C1010,04/11/2024,,199.03
229,P002,C1027,2024-04-13,1,149.32
230,P005,C1024,2024-04-04,1,49.21
231,P008,C1040,01/01/2024,,52.26
232,P005,C1000,08/01/2024,3,150.26
233,P004,C1014,2024/07/23,,132.96
234,P004,C1016,2024-11-06,2,92.17
235,P002,C1016,2024/07/08,,129.62
236,P007,C1042,2024/08/15,2,108.46
237,P003,C1006,11/11/2024,2,182.55
238,P001,C1012,2024-05-18,,158.53
239,P006,C1030,02/28/2024,3,48.94
240,P001,C1029,2024/11/26,1,87.96
241,P004,C1039,2024/11/06,1,148.52
242,P006,C1000,11/02/2024,2,85.93
243,P002,C1016,2024/07/14,,76.89
244,P002,C1025,04/10/2024,3,194.58
245,P008,C1041,2024-04-06,,46.69
246,P004,C1018,2024/03/12,2,98.93
247,P003,C1016,08/12/2024,,81.46
248,P007,C1022,2024-11-06,,161.78
249,P004,C1040,11/10/2024,2,91.4
250,P002,C1036,11/12/2024,2,20.83
251,P006,C1000,2024/03/17,3,12.84
252,P004,C1009,02/21/2024,3,29.28
253,P004,C1025,03/25/2024,1,49.61
254,P003,C1035,2024-10-23,,181.3
255,P005,C1028,2024-04-16,3,24.93
256,P002,C1030,09/04/2024,1,167.13
257,P008,C1015,09/02/2024,1,143.07
258,P008,C1020,2024/03/18,1,40.46
259,P008,C1023,2024/12/19,1,169.7
260,P007,C1041,2024-07-22,,78.46
261,P001,C1021,2024/01/20,,186.97
262,P002,C1026,2024-09-16,1,50.53
263,P003,C1033,06/04/2024,1,100.15
264,P004,C1018,05/14/2024,1,115.26
265,P005,C1017,06/27/2024,1,105.7
266,P006,C1045,2024-04-21,1,46.53
267,P005,C1035,2024-03-19,1,85.78
268,P007,C1002,09/19/2024,1,30.61
269,P004,C1039,2024-08-20,3,182.86
270,P007,C1043,2024/10/05,,140.92
271,P002,C1011,2024/04/02,2,128.79
272,P002,C1041,11/06/2024,1,183.67
273,P001,C1019,06/28/2024,3,144.92
274,P003,C1037,2024-07-02,2,117.59
275,P001,C1026,2024-08-19,1,157.01
276,P007,C1042,2024/08/03,2,122.82
277,P003,C1030,2024/08/25,1,25.75
278,P004,C1042,03/21/2024,1,11.76
279,P002,C1046,2024-02-07,2,13.37
280,P004,C1047,2024-08-24,1,79.51
281,P003,C1031,12/25/2024,,115.91
282,P008,C1000,2024/11/09,1,12.16
283,P002,C1031,2024/07/10,3,41.53
284,P001,C1010,2024/06/12,2,99.25
285,P003,C1030,2024-02-12,,162.34
286,P007,C1039,08/09/2024,1,63.17
287,P006,C1037,2024-10-24,3,168.19
288,P007,C1014,2024/04/13,2,124.33
289,P008,C1010,05/23/2024,1,60.91
290,P001,C1035,2024/05/27,1,62.02
291,P008,C1024,2024/06/18,3,102.09
292,P004,C1029,2024/12/08,1,138.75
293,P004,C1034,05/19/2024,2,112.7
294,P006,C1033,2024/02/08,3,180.41
295,P006,C1005,2024-08-17,1,50.4
296,P003,C1049,2024/12/10,3,78.18
297,P003,C1029,04/02/2024,1,80.61
298,P002,C1038,2024-03-11,1,63.29
299,P001,C1013,2024/02/02,2,121.47
300,P005,C1008,05/14/2024,3,165.57
